type,loc,sqm,lvl,nbed,nbath,year,price
Διαμέρισμα,Ευαγγελίστρια,53,7,1,1,2007,146000
Διαμέρισμα,Ευαγγελίστρια,39,1,1,1,2007,94000
Διαμέρισμα,Κοκκινιά,56,1,1,1,2008,75000
Διαμέρισμα,Καστέλα,88,1,2,1,1981,210000
Διαμέρισμα,Βρυώνη,107,2,2,1,1992,300000
Κτίριο,Καστέλα,272,0,6,3,1976,360000
Διαμέρισμα,Κοκκινιά,57,4,1,1,2008,125000
Διαμέρισμα,Καμίνια,53,1,1,1,1970,51500
Διαμέρισμα,Νέο Φάληρο,127,3,3,1,1976,240000
Διαμέρισμα,Κοκκινιά,190,1,3,1,1955,299000
Διαμέρισμα,Αγία Σοφία,50,5,2,1,2009,125000
Μεζονέτα,Καλλίπολη,148,5,3,1,2020,500000
Διαμέρισμα,Κέντρο,100,5,2,1,1974,190000
Διαμέρισμα,Μανιάτικα,72,3,2,1,2019,150000
Κτίριο,ΟΣΕ,145,1,2,1,1970,120000
Διαμέρισμα,Πλατεία Ιπποδαμείας,73,6,1,1,1962,133000
Διαμέρισμα,Χατζηκυριάκειο,85,3,2,1,1975,140000
Διαμέρισμα,Φρεαττύδα,120,5,2,2,2000,350000
Κτίριο,Κεντρικός Λιμένας,850,0,11,11,2011,1280000
Διαμέρισμα,Κέντρο,92,4,2,2,1964,200000
Διαμέρισμα,Μανιάτικα,110,3,3,1,1979,250000
Διαμέρισμα,Καλλίπολη,80,1,2,1,2009,200000
